date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,"1,175.00","1,179.95","1,160.00","1,092.55","1,179.95","1,179.95","1,177.03","6,740.55",542.6,1261391,"1,484,690,280.20",
2000-01-04,EQ,"1,220.00","1,274.35","1,183.10","1,179.95","1,274.35","1,260.65","1,228.02","6,740.55",542.6,4616547,"5,669,219,745.10",
2000-01-05,EQ,"1,160.55","1,317.70","1,159.80","1,260.65","1,190.95","1,176.55","1,238.35","6,740.55",542.6,8763127,"10,851,775,958.00",
2000-01-06,EQ,"1,195.00","1,200.00","1,095.00","1,176.55","1,106.00","1,115.45","1,135.04","6,740.55",542.6,5164020,"5,861,352,725.20",
2000-01-07,EQ,"1,097.10","1,097.10","1,026.25","1,115.45","1,026.25","1,026.25","1,029.94","6,740.55",542.6,755129,"777,737,410.30",
2000-01-10,EQ,"1,026.25","1,026.25",944.30,"1,026.25",962.00,966.70,980.49,"6,740.55",542.6,3942813,"3,865,884,836.05",
2000-01-11,EQ,985.00,"1,044.00",891.00,966.70,"1,018.80","1,019.95",995.97,"6,740.55",542.6,6802005,"6,774,605,252.15",
2000-01-12,EQ,"1,035.00","1,088.00","1,035.00","1,019.95","1,064.00","1,063.85","1,068.99","6,740.55",542.6,2968833,"3,173,652,929.20",
2000-01-13,EQ,"1,073.00","1,085.00","1,012.70","1,063.85","1,018.00","1,023.10","1,050.57","6,740.55",542.6,2251046,"2,364,882,024.45",
2000-01-14,EQ,"1,030.00","1,034.75",980.70,"1,023.10","1,001.00","1,001.85","1,007.74","6,740.55",542.6,2949092,"2,971,905,654.70",
2000-01-17,EQ,"1,022.00","1,054.90","1,011.10","1,001.85","1,034.90","1,042.35","1,036.05","6,740.55",542.6,3526666,"3,653,788,161.90",
2000-01-18,EQ,"1,034.00","1,039.00","1,001.00","1,042.35","1,015.00","1,009.30","1,021.41","6,740.55",542.6,2754298,"2,813,263,942.35",
2000-01-19,EQ,"1,040.00","1,090.05","1,040.00","1,009.30","1,090.05","1,090.05","1,070.58","6,740.55",542.6,2048407,"2,192,973,953.95",
2000-01-20,EQ,"1,139.90","1,177.25","1,125.00","1,090.05","1,146.00","1,149.15","1,159.75","6,740.55",542.6,5125365,"5,944,155,360.50",
2000-01-21,EQ,"1,149.00","1,183.80","1,135.00","1,149.15","1,180.00","1,176.85","1,164.23","6,740.55",542.6,4048147,"4,712,993,614.35",
2000-01-24,EQ,"1,187.70","1,241.00","1,187.70","1,176.85","1,234.00","1,223.15","1,218.64","6,740.55",542.6,3969446,"4,837,337,234.75",
2000-01-25,EQ,"1,230.00","1,235.00","1,185.00","1,223.15","1,203.00","1,209.00","1,211.07","6,740.55",542.6,3647707,"4,417,619,600.60",
2000-01-27,EQ,"1,250.00","1,268.50","1,211.10","1,209.00","1,222.00","1,221.10","1,244.23","6,740.55",542.6,3682939,"4,582,426,918.35",
2000-01-28,EQ,"1,211.05","1,296.35","1,202.80","1,221.10","1,288.10","1,286.90","1,264.27","6,740.55",542.6,5400401,"6,827,557,715.40",
2000-01-31,EQ,"1,285.00","1,294.90","1,197.00","1,286.90","1,208.50","1,213.10","1,261.73","6,740.55",542.6,4113157,"5,189,690,484.10",
2000-02-01,EQ,"1,220.00","1,250.00","1,213.10","1,213.10","1,230.00","1,226.65","1,232.40","6,740.55",542.6,3722293,"4,587,352,755.80",
2000-02-02,EQ,"1,265.00","1,299.00","1,240.00","1,226.65","1,244.00","1,252.55","1,273.42","6,740.55",542.6,5414633,"6,895,096,241.30",
2000-02-03,EQ,"1,254.90","1,352.75","1,254.90","1,252.55","1,352.75","1,351.35","1,309.58","6,740.55",542.6,7114463,"9,316,959,104.65",
2000-02-04,EQ,"1,389.90","1,418.70","1,331.65","1,351.35","1,344.00","1,341.80","1,363.98","6,740.55",542.6,4208405,"5,740,173,375.65",
2000-02-07,EQ,"1,351.00","1,364.40","1,291.10","1,341.80","1,309.00","1,305.80","1,314.65","6,740.55",542.6,2996084,"3,938,810,967.25",
2000-02-08,EQ,"1,310.00","1,381.70","1,310.00","1,305.80","1,335.00","1,335.70","1,356.92","6,740.55",542.6,6200928,"8,414,164,953.50",
2000-02-09,EQ,"1,361.00","1,397.00","1,314.80","1,335.70","1,322.00","1,326.15","1,355.12","6,740.55",542.6,3569244,"4,836,736,963.25",
2000-02-10,EQ,"1,310.05","1,368.00","1,310.05","1,326.15","1,341.00","1,339.35","1,347.04","6,740.55",542.6,3059468,"4,121,216,455.35",
2000-02-11,EQ,"1,350.00","1,398.00","1,347.00","1,339.35","1,355.00","1,359.95","1,374.06","6,740.55",542.6,3646822,"5,010,948,521.85",
2000-02-14,EQ,"1,331.00","1,416.00","1,301.00","1,359.95","1,380.00","1,391.90","1,379.94","6,740.55",542.6,5347820,"7,379,652,133.35",
2000-02-15,EQ,"1,393.00","1,416.00","1,332.05","1,391.90","1,345.00","1,343.85","1,380.05","6,740.55",591.4,4219963,"5,823,763,684.70",
2000-02-16,EQ,"1,370.00","1,403.95","1,356.00","1,343.85","1,372.90","1,375.25","1,383.74","6,740.55",591.4,4012618,"5,552,423,227.95",
2000-02-17,EQ,"1,389.00","1,414.00","1,368.00","1,375.25","1,379.00","1,378.20","1,386.34","6,740.55",591.4,3481463,"4,826,504,980.00",
2000-02-18,EQ,"1,389.00","1,407.00","1,350.00","1,378.20","1,375.00","1,362.60","1,383.67","6,740.55",591.4,3347408,"4,631,695,446.55",
2000-02-21,EQ,"1,380.00","1,471.65","1,380.00","1,362.60","1,471.65","1,471.65","1,448.70","6,740.55",591.4,4422825,"6,407,326,495.25",
2000-02-22,EQ,"1,550.05","1,577.70","1,512.25","1,471.65","1,530.00","1,528.05","1,547.21","6,740.55",591.4,3776946,"5,843,735,791.55",
2000-02-23,EQ,"1,640.00","1,645.00","1,451.25","1,528.05","1,460.00","1,476.55","1,578.11","6,740.55",591.4,4773124,"7,532,495,474.60",
2000-02-24,EQ,"1,499.00","1,585.00","1,485.00","1,476.55","1,564.00","1,541.70","1,539.06","6,740.55",591.4,4457117,"6,859,792,708.45",
2000-02-25,EQ,"1,579.00","1,617.70","1,430.00","1,541.70","1,457.80","1,452.85","1,509.95","6,740.55",591.4,2615003,"3,948,526,224.70",
2000-02-28,EQ,"1,487.00","1,524.00","1,352.60","1,452.85","1,404.50","1,404.20","1,413.09","6,740.55",591.4,2729132,"3,856,513,376.25",
2000-02-29,EQ,"1,406.00","1,455.00","1,291.90","1,404.20","1,291.90","1,310.75","1,389.40","6,740.55",612.7,4831036,"6,712,261,591.05",
2000-03-01,EQ,"1,320.10","1,415.65","1,292.00","1,310.75","1,415.65","1,403.35","1,370.40","6,740.55",612.7,4328143,"5,931,284,916.20",
2000-03-02,EQ,"1,435.00","1,515.65","1,435.00","1,403.35","1,515.65","1,515.65","1,501.34","6,740.55",612.7,2383776,"3,578,868,578.40",
2000-03-03,EQ,"1,544.00","1,634.00","1,441.25","1,515.65","1,485.00","1,476.70","1,507.55","6,740.55",612.7,5762343,"8,687,008,794.65",
2000-03-06,EQ,"1,510.00","1,554.85","1,478.30","1,476.70","1,537.00","1,535.00","1,520.43","6,740.55",612.7,4611685,"7,011,722,953.05",
2000-03-07,EQ,"1,545.00","1,549.00","1,436.60","1,535.00","1,458.00","1,452.00","1,489.96","6,740.55",612.7,3305684,"4,925,350,621.60",
2000-03-08,EQ,"1,470.00","1,520.00","1,411.25","1,452.00","1,449.00","1,454.40","1,468.03","6,740.55",612.7,3590139,"5,270,420,999.40",
2000-03-09,EQ,"1,467.00","1,509.00","1,350.00","1,454.40","1,363.10","1,376.80","1,419.38","6,740.55",612.7,3023132,"4,290,973,380.25",
2000-03-10,EQ,"1,380.00","1,420.00","1,266.70","1,376.80","1,266.70","1,272.70","1,352.85","6,740.55",612.7,2525958,"3,417,238,639.15",
2000-03-13,EQ,"1,289.70","1,350.00","1,176.30","1,272.70","1,207.00","1,194.40","1,239.66","6,740.55",612.7,4783624,"5,930,089,967.70",
