date,open,high,low,close,adj_close,volume,symbol
2001-07-02,29.75,32.950001,29.75,32.950001,27.909281,27.0,SHREECEM
2001-07-03,30.799999,31.35,30.0,30.5,25.834076,5700.0,SHREECEM
2001-07-04,30.5,31.0,30.0,30.9,26.172888,4596.0,SHREECEM
2001-07-05,30.450001,31.5,30.450001,31.5,26.681099,7001.0,SHREECEM
2001-07-06,30.25,31.200001,29.9,30.299999,25.664679,13875.0,SHREECEM
2001-07-09,29.0,30.9,29.0,30.5,25.834076,1170.0,SHREECEM
2001-07-10,30.950001,31.450001,30.5,30.85,26.130537,7375.0,SHREECEM
2001-07-11,30.5,31.0,30.35,31.0,26.257589000000003,13702.0,SHREECEM
2001-07-12,31.0,33.5,30.5,32.700001,27.697525,18694.0,SHREECEM
2001-07-13,32.549999,36.5,32.549999,34.849998,29.518603999999996,31167.0,SHREECEM
2001-07-16,35.0,36.0,35.0,35.400002,29.984467,15675.0,SHREECEM
2001-07-17,34.25,36.0,34.0,35.25,29.857415999999997,18460.0,SHREECEM
2001-07-18,35.099998,35.849998,35.0,35.599998,30.153865999999997,16550.0,SHREECEM
2001-07-19,35.25,36.099998,35.150002,35.799999,30.323277,8931.0,SHREECEM
2001-07-20,34.900002,36.0,34.900002,35.299999,29.899776,6440.0,SHREECEM
2001-07-23,32.0,32.0,32.0,32.0,27.104607,100.0,SHREECEM
2001-07-24,34.0,36.25,34.0,36.0,30.492676,6051.0,SHREECEM
2001-07-25,36.450001,40.0,35.0,38.450001,32.567883,48778.0,SHREECEM
2001-07-26,40.0,40.5,38.299999,39.450001,33.414902000000005,42840.0,SHREECEM
2001-07-27,38.5,38.849998,37.700001,38.349998,32.483181,7469.0,SHREECEM
2001-07-30,38.900002,39.0,37.0,37.549999,31.805563,5595.0,SHREECEM
2001-07-31,37.0,37.400002,36.400002,37.150002,31.466764,17950.0,SHREECEM
2001-08-01,42.950001,42.950001,36.5,38.0,32.186707,7205.0,SHREECEM
2001-08-02,41.5,41.5,36.650002,39.799999,33.711357,10167.0,SHREECEM
2001-08-03,38.650002,40.299999,38.549999,39.799999,33.711357,49207.0,SHREECEM
2001-08-06,40.5,41.150002,39.200001,40.799999,34.558369,10259.0,SHREECEM
2001-08-07,42.5,42.5,39.5,39.849998,33.7537,9631.0,SHREECEM
2001-08-08,39.400002,40.0,39.0,39.950001,33.838409000000006,6455.0,SHREECEM
2001-08-09,38.150002,39.75,38.0,39.650002,33.58432,7978.0,SHREECEM
2001-08-10,38.650002,40.5,38.650002,40.099998,33.965462,9721.0,SHREECEM
2001-08-13,40.0,40.099998,39.599998,39.900002,33.796062,15800.0,SHREECEM
2001-08-14,39.299999,39.75,39.25,39.299999,33.287842,4275.0,SHREECEM
2001-08-15,,,,,,,SHREECEM
2001-08-16,40.0,40.400002,39.400002,40.099998,33.965462,16106.0,SHREECEM
2001-08-17,40.0,40.0,37.5,39.25,33.245499,5975.0,SHREECEM
2001-08-20,38.5,38.599998,38.0,38.349998,32.483181,1400.0,SHREECEM
2001-08-21,39.75,39.75,38.849998,39.150002,33.160796999999995,801.0,SHREECEM
2001-08-22,,,,,,,SHREECEM
2001-08-23,39.049999,39.049999,37.349998,37.75,31.974977000000003,2675.0,SHREECEM
2001-08-24,38.5,38.5,36.450001,36.650002,31.043253000000004,4323.0,SHREECEM
2001-08-27,38.0,38.5,37.0,37.900002,32.102024,5175.0,SHREECEM
2001-08-28,39.299999,39.299999,36.25,36.700001,31.085596000000002,6115.0,SHREECEM
2001-08-29,37.5,37.5,36.5,36.950001,31.297354,13710.0,SHREECEM
2001-08-30,37.0,38.0,36.549999,37.75,31.974977000000003,1707.0,SHREECEM
2001-08-31,38.450001,38.450001,37.099998,37.349998,31.636153999999998,6756.0,SHREECEM
2001-09-03,37.349998,38.200001,36.0,36.849998,31.212652000000002,20206.0,SHREECEM
2001-09-04,35.5,36.0,35.5,35.599998,30.153865999999997,3044.0,SHREECEM
2001-09-05,37.400002,37.400002,35.0,35.049999,29.688025,16620.0,SHREECEM
2001-09-06,34.900002,35.150002,33.799999,33.950001,28.756302,3952.0,SHREECEM
2001-09-07,33.5,35.0,33.5,34.349998,29.095104,7961.0,SHREECEM
2001-09-10,35.0,35.599998,34.0,34.650002,29.349215,5725.0,SHREECEM
2001-09-11,32.099998,34.799999,32.099998,33.549999,28.417484,2750.0,SHREECEM
2001-09-12,33.0,33.0,32.0,32.299999,27.358715000000004,5035.0,SHREECEM
2001-09-13,32.299999,33.25,32.0,32.049999,27.146959000000003,6326.0,SHREECEM
2001-09-14,31.5,31.5,27.299999,28.700001,24.309448,14675.0,SHREECEM
2001-09-17,27.5,28.0,23.25,24.1,20.413158,15050.0,SHREECEM
2001-09-18,24.75,26.950001,22.5,25.700001,21.768387,88096.0,SHREECEM
2001-09-19,26.25,28.0,25.9,26.700001,22.615408,29971.0,SHREECEM
2001-09-20,26.25,26.25,24.549999,25.85,21.895447,8526.0,SHREECEM
2001-09-21,25.0,26.0,24.5,24.75,20.963720000000002,14030.0,SHREECEM
2001-09-24,25.0,26.4,25.0,26.1,22.107198999999998,3185.0,SHREECEM
2001-09-25,27.0,27.5,26.75,27.0,22.869514000000002,22178.0,SHREECEM
2001-09-26,27.0,27.5,26.5,27.0,22.869514000000002,2735.0,SHREECEM
2001-09-27,28.0,28.700001,27.049999,28.549999,24.182394,10504.0,SHREECEM
2001-09-28,28.65,29.799999,28.0,28.049999,23.758882999999997,14525.0,SHREECEM
2001-10-01,29.25,29.25,27.85,27.950001,23.674189000000002,7530.0,SHREECEM
2001-10-02,,,,,,,SHREECEM
2001-10-03,28.15,28.75,28.0,28.5,24.140038,13372.0,SHREECEM
2001-10-04,28.25,28.9,28.200001,28.700001,24.309448,19725.0,SHREECEM
2001-10-05,28.700001,29.5,28.549999,29.35,24.860007999999997,7032.0,SHREECEM
2001-10-08,27.700001,29.0,27.6,28.65,24.267096,5719.0,SHREECEM
2001-10-09,29.1,30.65,28.450001,30.4,25.749376,19402.0,SHREECEM
2001-10-10,29.5,31.25,29.5,30.799999,26.088186,18083.0,SHREECEM
2001-10-11,30.950001,31.799999,30.950001,31.450001,26.638756,16650.0,SHREECEM
2001-10-12,32.0,32.299999,31.0,31.4,26.596391999999998,15783.0,SHREECEM
2001-10-15,31.6,32.200001,30.85,31.25,26.469337,43746.0,SHREECEM
2001-10-16,31.75,32.0,31.200001,31.6,26.765802,19296.0,SHREECEM
2001-10-17,31.9,32.0,31.4,31.549999,26.723447999999998,18017.0,SHREECEM
2001-10-18,31.25,32.0,31.25,31.65,26.808153000000004,8767.0,SHREECEM
2001-10-19,31.75,33.5,31.5,32.650002,27.655174,23377.0,SHREECEM
2001-10-22,32.599998,35.0,32.599998,34.849998,29.518603999999996,17283.0,SHREECEM
