"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 02, 2020","11,490.55","11,468.60","11,522.70","11,363.40","158.86K","-0.03%"
"Sep 01, 2020","11,493.60","11,480.10","11,629.80","11,340.10","230.32K","0.92%"
"Aug 31, 2020","11,389.00","11,877.55","11,986.55","11,234.70","370.27K","-2.83%"
"Aug 28, 2020","11,720.35","11,509.45","11,740.15","11,490.40","356.00K","2.06%"
"Aug 27, 2020","11,483.40","11,475.90","11,545.40","11,451.95","209.47K","0.58%"
"Aug 26, 2020","11,416.70","11,401.25","11,434.40","11,336.50","219.61K","0.51%"
"Aug 25, 2020","11,358.95","11,317.60","11,382.15","11,242.75","281.38K","0.91%"
"Aug 24, 2020","11,256.60","11,080.00","11,301.75","11,069.25","180.96K","2.09%"
"Aug 21, 2020","11,025.75","10,987.60","11,059.30","10,973.20","194.34K","1.18%"
"Aug 20, 2020","10,897.50","10,909.70","10,948.00","10,852.55","207.86K","-1.31%"
"Aug 19, 2020","11,042.35","11,069.65","11,090.45","11,018.10","202.71K","0.43%"
"Aug 18, 2020","10,995.60","10,780.85","11,021.55","10,759.55","164.41K","1.97%"
"Aug 17, 2020","10,783.60","10,865.20","10,865.75","10,675.35","167.20K","0.23%"
"Aug 14, 2020","10,758.45","11,042.20","11,042.20","10,676.15","219.03K","-2.00%"
"Aug 13, 2020","10,978.20","11,050.05","11,070.00","10,959.40","210.05K","-0.16%"
"Aug 12, 2020","10,996.10","10,994.75","11,032.50","10,907.45","274.42K","-0.31%"
"Aug 11, 2020","11,030.20","10,981.25","11,071.85","10,978.30","182.19K","1.07%"
"Aug 10, 2020","10,913.80","10,883.35","10,995.50","10,871.40","156.74K","0.84%"
"Aug 07, 2020","10,823.10","10,776.20","10,840.55","10,699.00","188.03K","0.24%"
"Aug 06, 2020","10,797.35","10,769.10","10,897.35","10,666.80","258.48K","1.05%"
"Aug 05, 2020","10,685.35","10,772.20","10,894.45","10,659.70","245.36K","-0.19%"
"Aug 04, 2020","10,706.00","10,541.65","10,736.85","10,476.30","201.65K","2.28%"
"Aug 03, 2020","10,467.20","10,698.75","10,698.75","10,442.55","216.52K","-2.44%"
"Jul 31, 2020","10,728.85","10,820.15","10,820.70","10,630.85","336.22K","-0.61%"
"Jul 30, 2020","10,795.10","11,049.95","11,101.30","10,772.55","248.33K","-1.77%"
"Jul 29, 2020","10,989.95","11,025.50","11,128.60","10,927.15","257.86K","-0.61%"
"Jul 28, 2020","11,057.05","10,945.80","11,101.65","10,815.35","316.79K","1.36%"
"Jul 27, 2020","10,909.15","11,169.05","11,169.20","10,889.80","252.55K","-2.47%"
"Jul 24, 2020","11,184.90","11,272.65","11,272.65","11,089.35","248.01K","-1.72%"
"Jul 23, 2020","11,380.35","11,286.05","11,414.60","11,241.05","237.55K","0.80%"
"Jul 22, 2020","11,290.40","11,432.60","11,454.10","11,195.90","393.20K","-0.24%"
"Jul 21, 2020","11,317.90","11,234.40","11,340.20","11,224.75","329.80K","2.03%"
"Jul 20, 2020","11,093.20","11,110.70","11,173.00","11,042.40","339.49K","1.63%"
"Jul 17, 2020","10,915.70","10,720.10","10,963.20","10,713.75","203.44K","1.94%"
"Jul 16, 2020","10,708.30","10,648.75","10,731.90","10,454.80","209.58K","0.87%"
"Jul 15, 2020","10,616.10","10,760.00","10,867.35","10,571.65","233.53K","-0.34%"
"Jul 14, 2020","10,652.00","10,818.15","10,836.00","10,556.50","233.54K","-2.45%"
"Jul 13, 2020","10,919.90","11,185.55","11,202.35","10,874.45","241.19K","-1.54%"
"Jul 10, 2020","11,091.20","11,210.95","11,276.60","11,064.10","276.58K","-1.89%"
"Jul 09, 2020","11,305.30","11,174.05","11,338.05","11,153.80","261.57K","1.58%"
"Jul 08, 2020","11,129.25","11,225.25","11,305.00","11,085.30","378.38K","-0.58%"
"Jul 07, 2020","11,193.90","11,070.65","11,211.65","10,981.60","316.22K","1.54%"
"Jul 06, 2020","11,023.70","11,062.00","11,121.10","11,005.90","238.97K","1.41%"
"Jul 03, 2020","10,870.90","10,980.15","10,992.35","10,838.75","262.78K","-0.33%"
"Jul 02, 2020","10,906.75","10,912.35","11,012.70","10,845.15","298.56K","0.59%"
"Jul 01, 2020","10,843.25","10,558.35","10,877.30","10,540.30","323.70K","2.66%"
"Jun 30, 2020","10,561.90","10,597.10","10,666.35","10,499.00","247.03K","0.27%"
"Jun 29, 2020","10,533.20","10,463.45","10,576.90","10,352.40","247.55K","-0.52%"
"Jun 26, 2020","10,588.45","10,686.90","10,699.35","10,497.85","262.71K","0.03%"
"Jun 25, 2020","10,585.60","10,456.90","10,698.40","10,356.70","420.26K","0.27%"
"Jun 24, 2020","10,556.70","10,949.20","10,971.20","10,525.85","360.27K","-2.98%"
"Jun 23, 2020","10,881.40","10,730.25","10,917.00","10,601.35","298.00K","2.05%"
"Jun 22, 2020","10,662.55","10,625.85","10,804.65","10,591.85","404.52K","1.21%"
"Jun 19, 2020","10,534.75","10,378.50","10,574.15","10,332.35","474.09K","1.57%"
"Jun 18, 2020","10,372.00","9,977.00","10,402.05","9,949.05","280.59K","3.65%"
"Jun 17, 2020","10,007.10","10,039.50","10,219.90","9,965.75","323.22K","-0.82%"
"Jun 16, 2020","10,089.95","10,071.40","10,160.45","9,741.80","383.34K","2.77%"
"Jun 15, 2020","9,817.90","10,033.05","10,044.45","9,735.75","298.02K","-2.91%"
"Jun 12, 2020","10,111.75","9,586.20","10,157.15","9,585.50","367.37K","0.76%"
"Jun 11, 2020","10,035.70","10,247.15","10,304.15","10,010.75","332.94K","-2.38%"
"Jun 10, 2020","10,280.45","10,190.55","10,343.85","10,138.45","305.04K","1.15%"
"Jun 09, 2020","10,163.35","10,404.75","10,528.45","10,126.40","390.54K","-1.90%"
"Jun 08, 2020","10,360.20","10,580.95","10,636.65","10,255.10","449.17K","0.25%"
"Jun 05, 2020","10,334.85","10,171.25","10,402.40","10,094.20","413.37K","2.22%"
"Jun 04, 2020","10,110.85","10,381.95","10,467.50","10,077.70","336.00K","-2.64%"
"Jun 03, 2020","10,384.50","10,378.40","10,614.65","10,337.50","414.04K","1.93%"
"Jun 02, 2020","10,187.95","9,934.85","10,215.80","9,859.95","307.40K","3.18%"
"Jun 01, 2020","9,873.50","9,739.85","10,010.35","9,704.70","353.59K","3.64%"
"May 29, 2020","9,527.05","9,357.05","9,552.90","9,250.15","402.29K","1.07%"
"May 28, 2020","9,426.65","9,274.25","9,521.70","9,246.35","356.98K","2.67%"
"May 27, 2020","9,181.50","8,743.00","9,235.05","8,687.10","403.95K","5.86%"
"May 26, 2020","8,673.65","8,750.10","8,869.80","8,634.10","231.66K","0.25%"
"May 22, 2020","8,651.70","8,846.25","9,001.10","8,574.50","373.31K","-3.06%"
"May 21, 2020","8,924.35","9,019.35","9,142.95","8,900.65","243.60K","-0.66%"
"May 20, 2020","8,983.50","8,737.85","9,033.85","8,716.95","258.47K","3.08%"
"May 19, 2020","8,715.25","8,920.05","8,986.65","8,650.15","310.20K","0.46%"
"May 18, 2020","8,675.40","9,275.40","9,275.65","8,654.00","356.53K","-6.63%"
"May 15, 2020","9,291.60","9,386.35","9,391.30","9,195.30","194.01K","-0.68%"
"May 14, 2020","9,355.65","9,499.85","9,581.65","9,337.20","303.27K","-3.35%"
"May 13, 2020","9,679.60","9,867.85","9,909.50","9,604.90","395.20K","3.35%"
"May 12, 2020","9,365.85","9,271.60","9,417.25","9,052.75","311.08K","-0.22%"
"May 11, 2020","9,386.05","9,684.00","9,729.45","9,362.65","267.41K","-1.81%"
"May 08, 2020","9,559.35","9,751.85","9,775.80","9,535.90","230.16K","-0.17%"
"May 07, 2020","9,575.75","9,668.70","9,737.85","9,557.80","206.62K","-1.55%"
"May 06, 2020","9,727.00","9,524.40","9,806.95","9,385.85","325.61K","2.57%"
"May 05, 2020","9,483.15","9,856.00","9,912.35","9,460.00","302.02K","-2.03%"
"May 04, 2020","9,679.95","10,120.65","10,128.20","9,627.10","236.13K","-8.43%"
"Apr 30, 2020","10,570.80","10,504.10","10,695.45","10,476.00","292.22K","2.70%"
"Apr 29, 2020","10,292.90","9,919.40","10,392.85","9,900.50","352.45K","3.43%"
"Apr 28, 2020","9,951.20","9,766.45","9,978.40","9,696.10","244.70K","3.36%"
"Apr 27, 2020","9,627.60","9,569.10","9,749.50","9,557.80","239.75K","2.08%"
"Apr 24, 2020","9,431.85","9,522.60","9,619.45","9,413.95","267.03K","-3.84%"
"Apr 23, 2020","9,808.95","9,647.95","9,851.50","9,526.70","229.82K","2.51%"
"Apr 22, 2020","9,569.20","9,429.80","9,607.05","9,300.30","265.19K","1.06%"
"Apr 21, 2020","9,468.80","9,612.45","9,643.30","9,410.35","247.86K","-4.65%"
"Apr 20, 2020","9,930.65","10,112.50","10,142.00","9,898.30","341.76K","0.25%"
"Apr 17, 2020","9,905.55","9,821.60","9,972.20","9,577.25","411.86K","5.46%"
"Apr 16, 2020","9,392.60","9,191.15","9,466.15","9,097.00","312.33K","1.66%"
"Apr 15, 2020","9,239.35","9,780.00","9,780.10","9,136.65","294.03K","-2.75%"
"Apr 13, 2020","9,500.65","9,814.30","9,842.35","9,454.70","209.14K","-3.08%"
"Apr 09, 2020","9,803.00","9,485.00","9,836.35","9,424.70","267.03K","6.05%"
"Apr 08, 2020","9,243.45","9,152.60","9,814.30","9,084.40","347.66K","-0.38%"
"Apr 07, 2020","9,278.30","9,072.45","9,328.95","8,802.00","319.18K","8.36%"
"Apr 03, 2020","8,562.10","8,986.60","8,989.50","8,521.15","258.15K","-4.25%"
"Apr 01, 2020","8,942.55","9,293.90","9,319.95","8,889.25","206.87K","-4.02%"
"Mar 31, 2020","9,317.30","9,327.75","9,439.95","9,106.20","238.86K","3.17%"
"Mar 30, 2020","9,030.65","9,408.00","9,528.55","8,993.60","254.53K","-7.42%"
"Mar 27, 2020","9,754.30","10,159.00","10,428.60","9,594.60","405.22K","0.57%"
"Mar 26, 2020","9,698.55","9,366.95","10,073.85","9,174.25","394.29K","5.38%"
"Mar 25, 2020","9,203.30","8,285.25","9,247.85","8,256.45","294.95K","9.32%"
"Mar 24, 2020","8,418.70","8,623.00","8,746.70","7,984.20","303.85K","1.45%"
"Mar 23, 2020","8,298.50","8,898.40","9,210.20","8,239.15","273.31K","-15.94%"
"Mar 20, 2020","9,871.95","9,539.95","10,113.30","9,175.80","454.85K","2.85%"
"Mar 19, 2020","9,598.35","9,234.70","10,081.60","8,866.65","372.36K","-2.06%"
"Mar 18, 2020","9,800.30","10,709.45","10,753.40","9,711.40","346.70K","-7.66%"
"Mar 17, 2020","10,613.60","11,215.75","11,248.00","10,541.70","241.29K","-4.58%"
"Mar 16, 2020","11,123.40","11,589.65","11,600.75","11,069.60","223.25K","-8.08%"
"Mar 13, 2020","12,101.60","10,830.25","12,332.00","10,305.05","412.18K","5.65%"
"Mar 12, 2020","11,454.80","12,037.50","12,054.45","11,293.70","331.58K","-8.80%"
"Mar 11, 2020","12,560.45","12,391.40","12,692.70","12,383.45","252.46K","0.31%"
"Mar 09, 2020","12,522.20","12,765.75","12,780.85","12,272.10","263.82K","-4.28%"
"Mar 06, 2020","13,082.50","13,027.90","13,174.60","12,851.00","251.98K","-2.90%"
"Mar 05, 2020","13,472.75","13,499.00","13,607.70","13,394.30","272.49K","0.25%"
"Mar 04, 2020","13,439.50","13,685.00","13,695.70","13,245.45","210.36K","-1.45%"
"Mar 03, 2020","13,636.95","13,595.55","13,722.15","13,478.05","197.75K","0.87%"
"Mar 02, 2020","13,520.00","13,824.50","13,875.85","13,374.25","229.85K","-0.34%"
"Feb 28, 2020","13,566.45","13,778.35","13,784.65","13,520.35","233.89K","-3.69%"
"Feb 27, 2020","14,086.05","14,113.25","14,113.25","13,953.50","159.37K","-0.33%"
"Feb 26, 2020","14,132.70","14,156.75","14,251.95","14,072.45","137.97K","-0.73%"
"Feb 25, 2020","14,236.10","14,282.10","14,312.85","14,202.80","127.89K","-0.00%"
"Feb 24, 2020","14,236.15","14,398.30","14,405.85","14,215.00","144.90K","-1.89%"
"Feb 20, 2020","14,510.40","14,511.05","14,569.95","14,438.45","170.94K","-0.07%"
"Feb 19, 2020","14,520.25","14,456.65","14,536.70","14,374.10","99.52K","1.43%"
"Feb 18, 2020","14,315.70","14,356.30","14,367.35","14,214.05","108.15K","-0.38%"
"Feb 17, 2020","14,370.25","14,491.00","14,527.50","14,350.20","95.72K","-0.74%"
"Feb 14, 2020","14,477.45","14,596.15","14,672.80","14,434.00","127.05K","-0.70%"
"Feb 13, 2020","14,578.85","14,698.10","14,713.70","14,539.40","137.55K","-0.73%"
"Feb 12, 2020","14,685.40","14,668.80","14,747.70","14,632.55","166.57K","0.66%"
"Feb 11, 2020","14,589.55","14,564.10","14,676.30","14,562.50","147.95K","0.64%"
"Feb 10, 2020","14,496.75","14,514.75","14,520.85","14,414.25","99.12K","-0.04%"
"Feb 07, 2020","14,502.40","14,551.70","14,558.50","14,466.40","130.19K","-0.30%"
"Feb 06, 2020","14,545.75","14,427.30","14,596.65","14,373.25","136.90K","0.96%"
"Feb 05, 2020","14,407.80","14,245.40","14,420.75","14,178.30","130.31K","1.33%"
"Feb 04, 2020","14,218.80","13,908.00","14,241.60","13,902.85","120.37K","2.87%"
"Feb 03, 2020","13,822.30","13,719.65","13,877.30","13,647.60","133.81K","0.46%"
"Feb 01, 2020","13,758.85","14,267.00","14,377.60","13,726.45","-","-3.90%"
"Jan 31, 2020","14,316.90","14,389.20","14,413.55","14,270.25","165.72K","0.19%"
"Jan 30, 2020","14,289.95","14,382.95","14,388.35","14,247.95","96.58K","-0.40%"
"Jan 29, 2020","14,346.80","14,340.85","14,409.80","14,308.00","99.13K","0.52%"
"Jan 28, 2020","14,273.10","14,278.65","14,394.35","14,227.85","100.27K","0.27%"
"Jan 27, 2020","14,234.70","14,355.15","14,400.10","14,213.05","103.31K","-1.29%"
"Jan 24, 2020","14,420.40","14,293.40","14,450.70","14,229.45","87.47K","0.92%"
"Jan 23, 2020","14,288.45","14,196.85","14,314.70","14,145.80","188.52K","0.78%"
"Jan 22, 2020","14,178.50","14,358.70","14,396.20","14,152.85","132.65K","-0.89%"
"Jan 21, 2020","14,305.70","14,308.25","14,385.70","14,248.30","95.42K","-0.38%"
"Jan 20, 2020","14,359.65","14,686.70","14,686.70","14,346.75","108.20K","-1.39%"
"Jan 17, 2020","14,561.80","14,582.50","14,636.80","14,541.30","108.68K","-0.64%"
"Jan 16, 2020","14,655.35","14,625.05","14,697.90","14,586.75","65.70K","0.13%"
"Jan 15, 2020","14,636.05","14,637.55","14,655.70","14,528.30","78.39K","-0.21%"
"Jan 14, 2020","14,667.20","14,644.35","14,685.80","14,568.65","70.54K","0.22%"
"Jan 13, 2020","14,635.05","14,630.90","14,701.60","14,604.00","63.83K","0.17%"
"Jan 10, 2020","14,609.65","14,642.80","14,693.70","14,544.95","86.97K","0.13%"
"Jan 09, 2020","14,590.10","14,461.15","14,604.40","14,427.25","92.79K","1.98%"
"Jan 08, 2020","14,306.65","14,134.85","14,321.40","14,117.15","93.76K","-0.06%"
"Jan 07, 2020","14,314.75","14,346.55","14,467.50","14,226.00","107.55K","0.79%"
"Jan 06, 2020","14,202.50","14,472.80","14,493.15","14,161.85","81.75K","-2.46%"
"Jan 03, 2020","14,560.70","14,644.60","14,656.75","14,510.85","61.55K","-0.93%"
"Jan 02, 2020","14,697.50","14,578.15","14,707.60","14,572.90","56.00K","0.85%"
"Jan 01, 2020","14,574.20","14,590.10","14,621.65","14,543.40","44.68K","0.12%"
"Dec 31, 2019","14,557.40","14,643.35","14,643.35","14,535.60","81.30K","-0.64%"
"Dec 30, 2019","14,650.60","14,719.00","14,737.45","14,599.25","62.51K","-0.20%"
"Dec 27, 2019","14,679.35","14,578.40","14,696.40","14,543.95","81.46K","1.07%"
"Dec 26, 2019","14,523.70","14,609.45","14,619.60","14,506.45","62.70K","-0.55%"
"Dec 24, 2019","14,603.70","14,643.40","14,661.80","14,584.25","50.42K","-0.31%"
"Dec 23, 2019","14,648.80","14,635.25","14,680.60","14,570.90","72.95K","0.16%"
"Dec 20, 2019","14,625.80","14,586.35","14,634.80","14,550.60","115.73K","0.37%"
"Dec 19, 2019","14,571.45","14,626.85","14,633.60","14,552.10","69.79K","-0.32%"
"Dec 18, 2019","14,618.95","14,602.95","14,634.40","14,521.00","76.83K","0.44%"
"Dec 17, 2019","14,554.50","14,441.00","14,572.20","14,410.45","83.03K","0.95%"
"Dec 16, 2019","14,417.60","14,455.10","14,466.60","14,386.25","79.34K","0.05%"
"Dec 13, 2019","14,410.45","14,344.50","14,460.65","14,334.30","98.47K","0.82%"
"Dec 12, 2019","14,292.90","14,204.45","14,302.85","14,184.55","81.88K","0.89%"
"Dec 11, 2019","14,166.85","14,088.05","14,193.45","14,053.05","98.71K","0.68%"
"Dec 10, 2019","14,071.60","14,128.70","14,150.55","14,056.60","95.29K","-0.15%"
"Dec 09, 2019","14,092.40","14,047.00","14,133.70","13,985.80","99.41K","0.36%"
"Dec 06, 2019","14,041.85","14,227.30","14,258.05","13,984.80","116.67K","-1.07%"
"Dec 05, 2019","14,194.05","14,265.50","14,305.35","14,156.90","97.42K","-0.37%"
"Dec 04, 2019","14,246.55","14,108.20","14,265.50","14,068.10","89.66K","0.75%"
"Dec 03, 2019","14,140.45","14,181.20","14,184.15","14,070.20","70.73K","-0.16%"
"Dec 02, 2019","14,163.05","14,236.35","14,237.90","14,102.25","66.96K","-0.32%"
"Nov 29, 2019","14,208.85","14,276.10","14,284.70","14,133.70","77.67K","-0.55%"
"Nov 28, 2019","14,287.00","14,303.25","14,330.10","14,239.55","116.63K","0.15%"
"Nov 27, 2019","14,266.05","14,248.20","14,295.45","14,202.80","99.97K","0.41%"
"Nov 26, 2019","14,207.45","14,212.90","14,252.90","14,108.00","369.64K","0.37%"
"Nov 25, 2019","14,155.75","13,946.55","14,169.40","13,940.70","86.37K","1.46%"
"Nov 22, 2019","13,952.10","14,024.90","14,026.35","13,919.80","74.00K","-0.48%"
"Nov 21, 2019","14,019.20","13,995.45","14,052.95","13,928.55","88.38K","0.26%"
"Nov 20, 2019","13,982.20","14,030.85","14,058.35","13,965.35","87.25K","-0.19%"
"Nov 19, 2019","14,008.90","14,007.15","14,052.95","13,956.65","111.73K","0.04%"
"Nov 18, 2019","14,002.70","14,025.35","14,075.65","13,955.45","105.80K","-0.13%"
"Nov 15, 2019","14,021.00","13,995.45","14,094.55","13,969.25","168.94K","0.53%"
"Nov 14, 2019","13,947.35","13,852.05","13,965.65","13,751.25","115.35K","1.02%"
"Nov 13, 2019","13,806.40","13,955.45","13,996.20","13,785.30","90.41K","-1.16%"
"Nov 11, 2019","13,969.10","13,838.75","13,998.60","13,822.50","72.85K","0.72%"
"Nov 08, 2019","13,868.65","13,880.40","14,008.80","13,825.60","115.70K","-0.19%"
"Nov 07, 2019","13,894.90","13,908.60","13,936.40","13,828.00","105.64K","0.48%"
"Nov 06, 2019","13,828.45","13,684.25","13,860.70","13,571.35","93.86K","1.16%"
"Nov 05, 2019","13,669.40","13,730.30","13,748.35","13,613.65","104.00K","-0.01%"
"Nov 04, 2019","13,671.10","13,649.45","13,705.90","13,570.05","85.50K","0.63%"
"Nov 01, 2019","13,585.30","13,562.75","13,628.60","13,512.30","98.12K","0.51%"
"Oct 31, 2019","13,516.45","13,617.05","13,650.50","13,489.00","192.46K","-0.17%"
"Oct 30, 2019","13,539.80","13,581.50","13,619.40","13,500.55","114.03K","0.17%"
"Oct 29, 2019","13,516.35","13,389.95","13,555.25","13,351.35","127.59K","1.27%"
"Oct 25, 2019","13,346.80","13,382.10","13,401.65","13,186.75","176.97K","0.09%"
"Oct 24, 2019","13,334.30","13,461.55","13,506.40","13,287.90","127.45K","-0.48%"
"Oct 23, 2019","13,398.65","13,399.05","13,465.45","13,296.30","108.72K","0.41%"
"Oct 22, 2019","13,344.45","13,350.30","13,477.45","13,287.70","123.80K","0.99%"
"Oct 18, 2019","13,213.45","13,143.10","13,233.50","13,100.40","93.50K","0.52%"
"Oct 17, 2019","13,144.75","13,012.50","13,169.80","12,977.85","92.22K","1.28%"
"Oct 16, 2019","12,978.40","12,961.05","13,018.75","12,883.45","95.45K","0.57%"
"Oct 15, 2019","12,904.60","12,821.55","12,963.75","12,806.10","73.47K","0.89%"
"Oct 14, 2019","12,791.20","12,842.15","12,944.75","12,738.35","89.01K","0.17%"
"Oct 11, 2019","12,769.35","12,814.60","12,956.85","12,643.05","106.69K","0.37%"
"Oct 10, 2019","12,721.80","12,884.20","12,890.45","12,672.45","96.48K","-1.92%"
"Oct 09, 2019","12,970.45","12,652.00","12,992.40","12,589.95","145.70K","3.03%"
"Oct 07, 2019","12,589.15","12,648.50","12,773.05","12,535.00","116.29K","-0.03%"
"Oct 04, 2019","12,593.25","12,945.70","12,972.25","12,565.90","136.91K","-1.98%"
