"Date","Open","High","Low","Close"
"14 Aug 2020","7888.65","7898.90","7657.95","7677.65"
"13 Aug 2020","7801.10","7896.10","7757.05","7879.75"
"12 Aug 2020","7613.75","7808.10","7586.75","7785.05"
"11 Aug 2020","7675.40","7699.05","7618.30","7630.35"
"10 Aug 2020","7593.70","7688.70","7577.50","7621.30"
"07 Aug 2020","7484.95","7598.30","7468.20","7554.45"
"06 Aug 2020","7521.95","7532.40","7433.10","7498.25"
"05 Aug 2020","7397.00","7511.80","7392.20","7489.10"
"04 Aug 2020","7282.45","7381.65","7273.20","7353.95"
"03 Aug 2020","7323.65","7469.10","7224.80","7240.25"
"31 Jul 2020","7311.45","7328.50","7225.75","7279.75"
"30 Jul 2020","7340.80","7398.90","7270.55","7287.85"
"29 Jul 2020","7425.75","7464.15","7299.70","7330.25"
"28 Jul 2020","7193.15","7438.05","7185.25","7416.90"
"27 Jul 2020","7233.90","7238.60","7121.95","7186.45"
"24 Jul 2020","7228.40","7271.00","7178.85","7218.65"
"23 Jul 2020","7205.80","7313.00","7172.40","7301.05"
"22 Jul 2020","7301.00","7306.75","7154.15","7203.95"
"21 Jul 2020","7209.00","7317.55","7198.25","7295.75"
"20 Jul 2020","7161.70","7183.20","7105.55","7175.85"
"17 Jul 2020","7039.55","7154.75","7016.85","7137.30"
"16 Jul 2020","6940.75","7027.25","6853.75","7015.90"
"15 Jul 2020","6960.40","7003.55","6910.20","6931.05"
"14 Jul 2020","7047.65","7050.10","6883.70","6916.00"
"13 Jul 2020","7094.15","7139.85","7035.90","7084.45"
"10 Jul 2020","7066.00","7158.20","7020.30","7041.10"
"09 Jul 2020","7101.90","7112.05","7022.20","7085.60"
"08 Jul 2020","7225.15","7252.10","7037.90","7059.35"
"07 Jul 2020","7172.35","7217.70","7099.50","7199.55"
"06 Jul 2020","7029.50","7193.55","6993.80","7171.75"
"03 Jul 2020","6921.70","6992.30","6903.10","6971.05"
"02 Jul 2020","6761.00","6923.90","6751.95","6907.10"
"01 Jul 2020","6743.35","6785.30","6702.50","6718.60"
"30 Jun 2020","6718.40","6753.50","6670.90","6719.15"
"29 Jun 2020","6685.85","6728.65","6605.50","6645.85"
"26 Jun 2020","6807.40","6808.80","6705.00","6731.45"
"25 Jun 2020","6681.75","6791.75","6645.15","6737.85"
"24 Jun 2020","6854.25","6935.75","6727.40","6742.80"
"23 Jun 2020","6763.05","6817.65","6744.10","6789.20"
"22 Jun 2020","6656.30","6753.05","6636.50","6729.10"
"19 Jun 2020","6567.80","6664.75","6500.15","6634.50"
"18 Jun 2020","6487.10","6557.05","6454.65","6535.90"
"17 Jun 2020","6418.85","6545.50","6394.45","6503.50"
"16 Jun 2020","6561.20","6582.65","6355.75","6451.05"
"15 Jun 2020","6530.75","6573.20","6417.75","6443.00"
"12 Jun 2020","6075.30","6578.40","6074.15","6559.40"
"11 Jun 2020","6491.95","6549.90","6345.80","6373.60"
"10 Jun 2020","6568.80","6598.50","6470.50","6502.65"
"09 Jun 2020","6648.95","6665.75","6525.25","6577.70"
"08 Jun 2020","6707.95","6743.15","6588.50","6610.55"
"05 Jun 2020","6563.80","6645.15","6527.00","6628.75"
"04 Jun 2020","6501.65","6564.95","6411.25","6511.35"
"03 Jun 2020","6567.95","6622.10","6475.30","6498.65"
"02 Jun 2020","6455.80","6542.65","6395.50","6471.30"
"01 Jun 2020","6299.05","6485.85","6294.05","6419.50"
"29 May 2020","6036.45","6246.95","6016.00","6218.80"
"28 May 2020","5922.15","6131.35","5876.40","6112.30"
"27 May 2020","5872.45","5910.75","5791.25","5896.95"
"26 May 2020","5817.20","5872.75","5775.40","5854.30"
"22 May 2020","5707.25","5789.25","5639.65","5767.00"
"21 May 2020","5616.95","5784.30","5588.35","5749.90"
"20 May 2020","5464.85","5632.45","5436.35","5603.80"
"19 May 2020","5538.65","5575.60","5456.10","5486.15"
"18 May 2020","5747.50","5752.15","5411.95","5430.05"
"15 May 2020","5823.30","5827.15","5680.25","5745.70"
"14 May 2020","5698.55","5865.95","5668.40","5804.05"
"13 May 2020","6014.20","6033.95","5815.50","5844.60"
"12 May 2020","5653.60","5735.65","5502.80","5708.95"
"11 May 2020","5517.60","5789.70","5514.40","5679.70"
"08 May 2020","5622.70","5623.75","5424.80","5447.75"
"07 May 2020","5549.95","5616.40","5505.45","5519.00"
"06 May 2020","5471.60","5593.30","5351.20","5552.40"
"05 May 2020","5582.15","5602.10","5442.75","5451.90"
"04 May 2020","5647.85","5652.80","5436.05","5476.20"
"30 Apr 2020","5667.35","5926.50","5660.55","5901.40"
"29 Apr 2020","5492.00","5568.00","5461.05","5543.75"
"28 Apr 2020","5476.85","5524.05","5399.30","5447.10"
"27 Apr 2020","5458.65","5528.80","5405.70","5433.20"
"24 Apr 2020","5405.90","5462.50","5362.85","5377.25"
"23 Apr 2020","5439.10","5518.70","5390.95","5464.75"
