"Date","Open","High","Low","Close"
"14 Aug 2020","15615.85","15639.15","15282.10","15394.95"
"13 Aug 2020","15575.60","15608.00","15492.35","15540.55"
"12 Aug 2020","15542.50","15594.40","15452.05","15549.00"
"11 Aug 2020","15608.30","15705.30","15499.60","15588.25"
"10 Aug 2020","15601.20","15638.60","15457.95","15515.35"
"07 Aug 2020","15444.60","15562.15","15413.10","15498.05"
"06 Aug 2020","15467.60","15539.80","15337.50","15408.15"
"05 Aug 2020","15476.90","15566.50","15297.70","15328.30"
"04 Aug 2020","15111.05","15462.20","15024.75","15408.15"
"03 Aug 2020","15280.50","15283.45","15003.60","15055.55"
"31 Jul 2020","15478.40","15542.50","15238.45","15309.15"
"30 Jul 2020","15695.00","15719.75","15379.75","15439.00"
"29 Jul 2020","15994.70","16064.00","15629.35","15737.55"
"28 Jul 2020","15925.45","16029.35","15916.15","16001.95"
"27 Jul 2020","16030.75","16047.00","15764.45","15903.05"
"24 Jul 2020","15732.35","15964.80","15700.30","15895.85"
"23 Jul 2020","15536.30","15854.65","15480.40","15803.25"
"22 Jul 2020","15520.10","15711.75","15405.55","15565.40"
"21 Jul 2020","15026.05","15478.65","15005.10","15457.35"
"20 Jul 2020","14985.30","15044.20","14887.50","14936.00"
"17 Jul 2020","14400.45","14980.60","14400.45","14942.25"
"16 Jul 2020","14345.55","14365.45","14070.75","14339.90"
"15 Jul 2020","14718.35","14822.80","14162.60","14302.95"
"14 Jul 2020","14808.95","14825.15","14539.45","14581.90"
"13 Jul 2020","14827.75","15025.10","14754.30","14835.10"
"10 Jul 2020","14604.70","14724.40","14522.90","14698.50"
"09 Jul 2020","14639.05","14682.25","14565.35","14620.85"
"08 Jul 2020","14715.95","14768.90","14514.55","14554.35"
"07 Jul 2020","15037.60","15046.85","14667.00","14696.70"
"06 Jul 2020","14887.70","15057.00","14822.70","14997.85"
"03 Jul 2020","14738.55","14797.15","14644.30","14771.05"
"02 Jul 2020","14538.75","14707.60","14509.55","14625.20"
"01 Jul 2020","14399.85","14495.05","14275.70","14474.35"
"30 Jun 2020","14737.10","14737.10","14368.85","14396.55"
"29 Jun 2020","14775.45","14833.45","14536.85","14588.50"
"26 Jun 2020","14665.55","14879.20","14596.05","14832.65"
"25 Jun 2020","14575.75","14733.55","14462.40","14505.20"
"24 Jun 2020","14942.60","14957.20","14571.15","14603.65"
"23 Jun 2020","14748.00","14867.05","14695.05","14837.55"
