"Date","Open","High","Low","Close"
"14 Aug 2020","3236.10","3241.65","3161.50","3183.20"
"13 Aug 2020","3196.60","3222.85","3187.30","3216.80"
"12 Aug 2020","3187.75","3206.40","3178.70","3196.75"
"11 Aug 2020","3214.55","3221.50","3187.45","3196.80"
"10 Aug 2020","3207.70","3217.45","3188.60","3199.15"
"07 Aug 2020","3180.35","3193.35","3175.05","3188.25"
"06 Aug 2020","3199.10","3203.35","3165.05","3176.90"
"05 Aug 2020","3182.50","3200.95","3158.15","3178.60"
"04 Aug 2020","3123.50","3174.35","3120.75","3167.65"
"03 Aug 2020","3147.85","3148.30","3110.10","3113.20"
"31 Jul 2020","3170.10","3176.10","3141.95","3153.40"
"30 Jul 2020","3209.70","3213.35","3150.50","3162.20"
"29 Jul 2020","3221.95","3240.80","3183.20","3200.25"
"28 Jul 2020","3177.80","3223.15","3171.85","3219.00"
"27 Jul 2020","3193.90","3194.45","3156.05","3172.85"
"24 Jul 2020","3167.45","3193.90","3155.65","3175.90"
"23 Jul 2020","3153.15","3188.05","3146.65","3179.80"
"22 Jul 2020","3165.85","3183.50","3136.60","3155.75"
"21 Jul 2020","3128.65","3166.70","3125.00","3156.75"
"20 Jul 2020","3108.05","3113.90","3089.60","3104.25"
"17 Jul 2020","3023.35","3099.80","3023.35","3091.85"
"16 Jul 2020","3022.20","3022.25","2971.80","3015.85"
"15 Jul 2020","3089.50","3098.55","2994.10","3013.75"
"14 Jul 2020","3107.20","3111.60","3061.00","3071.50"
"13 Jul 2020","3104.55","3123.85","3093.25","3111.95"
"10 Jul 2020","3079.25","3094.15","3056.30","3084.00"
"09 Jul 2020","3076.80","3087.40","3066.05","3081.90"
"08 Jul 2020","3101.20","3108.20","3054.00","3060.35"
"07 Jul 2020","3148.75","3150.10","3085.75","3092.65"
"06 Jul 2020","3133.60","3151.65","3123.30","3141.15"
"03 Jul 2020","3081.00","3109.60","3072.90","3106.10"
"02 Jul 2020","3050.20","3068.25","3037.60","3059.50"
"01 Jul 2020","3047.65","3047.65","3012.55","3031.40"
"30 Jun 2020","3068.50","3080.40","3022.15","3032.35"
"29 Jun 2020","3064.55","3068.15","3019.90","3042.65"
"26 Jun 2020","3062.20","3085.60","3047.75","3078.50"
"25 Jun 2020","3047.85","3075.85","3031.60","3038.40"
"24 Jun 2020","3126.35","3129.00","3051.05","3059.25"
"23 Jun 2020","3074.45","3110.35","3061.90","3105.50"
"22 Jun 2020","3060.40","3081.40","3041.40","3062.30"
"19 Jun 2020","2974.75","3052.45","2968.90","3038.65"
"18 Jun 2020","2912.25","2965.25","2904.40","2957.60"
"17 Jun 2020","2909.85","2944.55","2894.60","2919.25"
"16 Jun 2020","2977.25","2980.05","2885.00","2918.70"
"15 Jun 2020","2934.80","2954.80","2895.05","2925.95"
"12 Jun 2020","2814.20","2961.45","2813.10","2954.20"
"11 Jun 2020","2967.35","2974.05","2903.65","2908.75"
"10 Jun 2020","2969.45","2984.25","2948.90","2970.20"
"09 Jun 2020","3008.85","3020.30","2950.95","2959.55"
"08 Jun 2020","3053.30","3054.40","2994.50","3002.60"
"05 Jun 2020","2973.05","3014.05","2968.05","3002.45"
"04 Jun 2020","2919.85","2955.60","2911.45","2948.80"
"03 Jun 2020","2944.75","2950.85","2916.85","2922.95"
"02 Jun 2020","2903.85","2917.45","2885.70","2912.45"
"01 Jun 2020","2873.85","2924.50","2867.70","2885.90"
"29 May 2020","2800.90","2852.25","2792.05","2845.15"
"28 May 2020","2771.55","2818.45","2768.20","2815.10"
"27 May 2020","2735.15","2763.95","2713.85","2759.75"
"26 May 2020","2722.45","2742.05","2717.20","2724.45"
"22 May 2020","2721.05","2733.55","2699.90","2720.15"
"21 May 2020","2724.05","2739.25","2708.55","2725.45"
"20 May 2020","2674.25","2731.85","2667.55","2721.55"
"19 May 2020","2669.55","2709.00","2651.50","2671.20"
"18 May 2020","2738.65","2738.65","2618.60","2624.90"
"15 May 2020","2722.85","2736.15","2695.30","2729.00"
"14 May 2020","2730.90","2746.15","2691.50","2706.85"
"13 May 2020","2802.60","2802.60","2728.60","2762.30"
"12 May 2020","2712.35","2721.80","2669.15","2700.80"
"11 May 2020","2722.05","2757.10","2719.65","2726.55"
"08 May 2020","2721.10","2724.60","2694.30","2697.85"
"07 May 2020","2680.00","2686.65","2663.40","2677.40"
"06 May 2020","2670.05","2701.90","2651.80","2689.85"
"05 May 2020","2700.90","2730.75","2665.95","2670.30"
"04 May 2020","2684.25","2697.65","2656.90","2666.60"
"30 Apr 2020","2706.25","2762.90","2688.55","2753.15"
"29 Apr 2020","2652.20","2675.85","2641.15","2664.35"
"28 Apr 2020","2660.40","2663.85","2616.70","2632.55"
"27 Apr 2020","2643.75","2676.45","2630.15","2635.20"
"24 Apr 2020","2598.35","2664.25","2585.90","2614.95"
"23 Apr 2020","2637.25","2653.45","2614.20","2619.10"
"22 Apr 2020","2610.00","2638.45","2563.25","2627.35"
"21 Apr 2020","2569.40","2573.05","2521.65","2565.25"
