"Date","Open","High","Low","Close"
"14 Aug 2020","11529.40","11800.65","11465.70","11640.40"
"13 Aug 2020","11621.50","11718.90","11456.50","11477.95"
"12 Aug 2020","11766.40","11766.40","11536.75","11590.25"
"11 Aug 2020","12021.85","12045.30","11712.40","11772.25"
"10 Aug 2020","11583.60","12027.95","11582.45","11941.40"
"07 Aug 2020","11410.15","11468.00","11283.60","11333.00"
"06 Aug 2020","11325.90","11478.50","11265.00","11403.65"
"05 Aug 2020","11397.70","11413.85","11239.05","11263.75"
"04 Aug 2020","11179.50","11337.70","11056.95","11316.95"
"03 Aug 2020","11176.30","11389.95","11090.65","11128.40"
"31 Jul 2020","10801.05","11194.45","10780.45","11148.90"
"30 Jul 2020","10505.30","10788.30","10493.55","10766.05"
"29 Jul 2020","10176.40","10469.10","10166.10","10441.15"
"28 Jul 2020","10065.45","10168.55","10033.30","10128.05"
"27 Jul 2020","10247.40","10265.55","9994.80","10062.05"
"24 Jul 2020","10382.35","10476.00","10192.20","10237.95"
"23 Jul 2020","10237.95","10335.30","10207.75","10322.15"
"22 Jul 2020","10199.75","10355.50","10110.05","10175.20"
"21 Jul 2020","10355.85","10381.30","10133.25","10153.80"
"20 Jul 2020","10495.15","10495.15","10283.25","10304.60"
"17 Jul 2020","10394.80","10497.15","10347.05","10472.15"
"16 Jul 2020","10234.85","10398.50","10166.75","10382.30"
"15 Jul 2020","10192.30","10261.20","10157.30","10210.75"
"14 Jul 2020","10132.60","10203.55","10105.30","10155.05"
"13 Jul 2020","10171.85","10185.35","10065.95","10106.60"
"10 Jul 2020","9998.55","10161.15","9982.55","10072.25"
"09 Jul 2020","10000.90","10039.70","9955.35","9987.55"
"08 Jul 2020","9920.85","10035.85","9909.95","9948.50"
"07 Jul 2020","9924.70","10000.95","9866.95","9878.00"
"06 Jul 2020","10002.25","10012.95","9852.30","9901.25"
"03 Jul 2020","10020.00","10046.10","9927.60","9963.40"
"02 Jul 2020","9845.35","9976.15","9832.65","9943.65"
"01 Jul 2020","10004.65","10006.60","9844.50","9882.85"
"30 Jun 2020","10189.45","10198.40","9956.15","9985.15"
"29 Jun 2020","10132.75","10264.90","10115.30","10135.90"
"26 Jun 2020","10239.10","10285.20","10100.25","10137.85"
"25 Jun 2020","10075.55","10239.60","10040.60","10193.15"
"24 Jun 2020","10393.35","10404.35","10088.60","10110.50"
"23 Jun 2020","10300.10","10385.20","10217.90","10360.80"
"22 Jun 2020","10223.05","10291.45","10102.30","10218.35"
"19 Jun 2020","10022.90","10098.85","9982.45","10002.15"
"18 Jun 2020","9991.75","10050.20","9953.05","9975.30"
"17 Jun 2020","9956.70","10020.25","9915.20","9977.20"
"16 Jun 2020","10063.25","10092.35","9800.05","9926.40"
"15 Jun 2020","10020.75","10171.80","9894.70","9989.05"
"12 Jun 2020","9690.90","9997.50","9687.95","9982.80"
"11 Jun 2020","10097.85","10177.35","9893.80","9933.40"
"10 Jun 2020","10159.10","10237.05","10070.80","10149.25"
"09 Jun 2020","9950.50","10227.90","9948.75","10122.05"
"08 Jun 2020","10158.85","10158.85","9883.70","9939.10"
"05 Jun 2020","10161.40","10234.80","10061.95","10081.30"
"04 Jun 2020","9880.85","10114.10","9869.60","10077.85"
"03 Jun 2020","9914.80","9980.85","9835.05","9864.05"
"02 Jun 2020","9869.65","10047.30","9814.45","9833.60"
"01 Jun 2020","9844.20","9872.40","9677.95","9802.10"
"29 May 2020","9459.25","9812.90","9432.60","9768.60"
"28 May 2020","9488.95","9507.55","9362.05","9464.50"
"27 May 2020","9528.75","9537.80","9416.80","9463.70"
"26 May 2020","9624.30","9679.85","9454.75","9483.50"
"22 May 2020","9502.30","9619.60","9427.20","9600.65"
