"Date","Open","High","Low","Close"
"14 Aug 2020","5460.95","5475.20","5327.90","5369.35"
"13 Aug 2020","5423.45","5466.90","5420.95","5433.65"
"12 Aug 2020","5364.45","5399.45","5336.55","5393.00"
"11 Aug 2020","5401.70","5410.05","5364.90","5371.00"
"10 Aug 2020","5296.90","5355.00","5294.15","5351.15"
"07 Aug 2020","5213.90","5274.05","5205.40","5262.90"
"06 Aug 2020","5212.20","5234.90","5190.25","5208.30"
"05 Aug 2020","5169.00","5199.45","5152.55","5189.45"
"04 Aug 2020","5103.85","5137.90","5083.25","5131.70"
"03 Aug 2020","5024.05","5082.50","5012.50","5062.35"
"31 Jul 2020","4988.25","5023.00","4949.95","5010.60"
"30 Jul 2020","5031.80","5057.55","4953.65","4969.15"
"29 Jul 2020","5052.95","5081.95","5013.85","5022.65"
"28 Jul 2020","4990.90","5034.65","4984.55","5027.15"
"27 Jul 2020","5023.45","5028.35","4938.35","4959.50"
"24 Jul 2020","4962.55","4998.40","4933.40","4989.40"
"23 Jul 2020","4941.70","4995.45","4938.50","4978.55"
"22 Jul 2020","4956.80","4971.80","4887.25","4927.65"
"21 Jul 2020","4944.15","4957.55","4922.60","4928.05"
"20 Jul 2020","4884.50","4915.10","4876.75","4907.95"
"17 Jul 2020","4811.30","4857.95","4807.00","4851.95"
"16 Jul 2020","4808.15","4818.05","4740.50","4788.80"
"15 Jul 2020","4835.30","4872.05","4781.55","4794.40"
"14 Jul 2020","4858.70","4859.65","4751.35","4799.85"
"13 Jul 2020","4909.30","4918.90","4852.95","4872.65"
"10 Jul 2020","4876.15","4912.20","4840.90","4870.25"
"09 Jul 2020","4858.40","4886.35","4851.85","4880.15"
"08 Jul 2020","4866.15","4896.85","4818.10","4827.80"
"07 Jul 2020","4817.35","4844.85","4782.30","4839.60"
"06 Jul 2020","4744.15","4793.95","4738.95","4791.65"
"03 Jul 2020","4725.85","4729.70","4686.55","4706.00"
"02 Jul 2020","4695.35","4710.00","4684.90","4695.65"
"01 Jul 2020","4623.90","4664.65","4595.00","4654.10"
"30 Jun 2020","4671.65","4682.50","4597.50","4614.95"
"29 Jun 2020","4700.10","4700.25","4612.15","4643.15"
"26 Jun 2020","4744.10","4756.05","4699.85","4708.35"
"25 Jun 2020","4632.60","4700.25","4618.70","4694.50"
"24 Jun 2020","4807.35","4823.95","4663.95","4670.55"
"23 Jun 2020","4740.00","4760.90","4689.45","4756.30"
