"Date","Open","High","Low","Close"
"14 Aug 2020","4623.70","4637.20","4501.60","4537.80"
"13 Aug 2020","4532.50","4612.70","4529.05","4604.60"
"12 Aug 2020","4472.20","4516.80","4450.25","4505.65"
"11 Aug 2020","4502.20","4510.25","4473.80","4480.15"
"10 Aug 2020","4480.20","4495.35","4453.35","4478.50"
"07 Aug 2020","4364.20","4447.05","4352.25","4437.75"
"06 Aug 2020","4339.25","4365.70","4321.20","4356.40"
"05 Aug 2020","4321.60","4354.10","4295.65","4318.55"
"04 Aug 2020","4253.70","4294.60","4250.90","4288.65"
"03 Aug 2020","4250.75","4286.25","4227.30","4231.30"
"31 Jul 2020","4269.85","4278.90","4225.20","4249.05"
"30 Jul 2020","4319.90","4332.05","4244.80","4256.95"
"29 Jul 2020","4290.85","4346.70","4280.60","4305.85"
"28 Jul 2020","4231.20","4285.00","4227.25","4280.65"
"27 Jul 2020","4295.25","4297.25","4216.95","4224.95"
"24 Jul 2020","4296.50","4324.60","4251.30","4286.20"
"23 Jul 2020","4300.50","4329.10","4290.30","4319.65"
"22 Jul 2020","4291.20","4329.60","4252.20","4288.80"
"21 Jul 2020","4313.40","4329.05","4276.60","4283.10"
"20 Jul 2020","4277.70","4301.30","4265.85","4282.65"
"17 Jul 2020","4189.85","4255.60","4186.50","4248.15"
"16 Jul 2020","4163.45","4183.40","4083.85","4172.15"
"15 Jul 2020","4211.75","4225.45","4127.45","4141.40"
"14 Jul 2020","4234.20","4235.85","4158.60","4180.15"
"13 Jul 2020","4301.00","4318.30","4240.05","4256.30"
"10 Jul 2020","4289.55","4323.95","4238.30","4266.05"
"09 Jul 2020","4306.70","4321.30","4287.10","4308.10"
"08 Jul 2020","4327.40","4353.70","4273.65","4285.05"
"07 Jul 2020","4297.65","4322.25","4254.55","4312.65"
"06 Jul 2020","4240.40","4293.80","4228.30","4289.55"
"03 Jul 2020","4199.75","4218.90","4169.60","4208.75"
"02 Jul 2020","4146.60","4176.60","4125.80","4170.85"
"01 Jul 2020","4100.40","4123.50","4073.70","4115.80"
"30 Jun 2020","4143.60","4154.85","4082.40","4094.25"
"29 Jun 2020","4160.60","4164.65","4076.30","4095.95"
"26 Jun 2020","4210.20","4229.75","4159.90","4171.75"
"25 Jun 2020","4110.05","4181.90","4086.65","4168.95"
"24 Jun 2020","4237.10","4273.75","4118.85","4132.10"
"23 Jun 2020","4196.75","4216.45","4160.20","4209.50"
"22 Jun 2020","4121.35","4192.05","4116.65","4167.85"
"19 Jun 2020","4055.75","4096.65","4043.45","4088.15"
"18 Jun 2020","3980.85","4042.20","3972.90","4035.60"
"17 Jun 2020","3967.15","4011.60","3955.40","3984.55"
"16 Jun 2020","4024.55","4035.50","3903.55","3975.50"
"15 Jun 2020","4017.00","4043.30","3944.50","3952.90"
"12 Jun 2020","3777.15","4031.70","3776.85","4020.05"
"11 Jun 2020","4001.80","4051.80","3934.05","3944.55"
"10 Jun 2020","3958.25","4005.15","3936.95","3992.60"
"09 Jun 2020","3984.15","4024.30","3917.95","3940.60"
"08 Jun 2020","4004.60","4020.05","3939.70","3955.60"
"05 Jun 2020","3909.80","3953.35","3891.85","3946.45"
"04 Jun 2020","3884.50","3930.75","3842.40","3880.95"
"03 Jun 2020","3926.65","3959.25","3864.30","3880.35"
"02 Jun 2020","3861.90","3897.65","3843.35","3882.60"
"01 Jun 2020","3758.15","3852.85","3755.15","3838.90"
"29 May 2020","3638.75","3739.60","3623.70","3713.55"
"28 May 2020","3619.60","3669.95","3610.85","3663.20"
"27 May 2020","3581.20","3611.65","3529.75","3603.60"
"26 May 2020","3527.10","3573.60","3512.40","3567.20"
"22 May 2020","3512.75","3550.70","3468.25","3496.85"
"21 May 2020","3526.75","3568.75","3512.75","3529.15"
"20 May 2020","3455.45","3520.35","3443.35","3505.30"
"19 May 2020","3477.35","3510.85","3437.10","3451.80"
"18 May 2020","3631.00","3631.35","3424.20","3430.80"
"15 May 2020","3643.00","3658.05","3601.40","3618.50"
"14 May 2020","3621.10","3665.65","3600.75","3626.10"
"13 May 2020","3688.30","3688.30","3581.30","3647.60"
"12 May 2020","3549.65","3567.95","3487.50","3547.50"
"11 May 2020","3568.25","3606.20","3558.90","3567.15"
"08 May 2020","3593.05","3603.50","3525.65","3537.50"
"07 May 2020","3558.70","3614.40","3536.90","3542.50"
"06 May 2020","3531.45","3581.95","3470.60","3567.65"
"05 May 2020","3608.40","3626.30","3511.20","3518.80"
"04 May 2020","3605.35","3608.55","3530.95","3548.65"
"30 Apr 2020","3707.50","3752.70","3695.10","3722.40"
"29 Apr 2020","3623.30","3663.40","3609.40","3649.15"
"28 Apr 2020","3570.15","3606.95","3528.45","3597.80"
"27 Apr 2020","3519.35","3547.85","3514.45","3531.25"
"24 Apr 2020","3526.30","3562.05","3461.20","3470.35"
"23 Apr 2020","3548.40","3631.40","3543.65","3571.15"
"22 Apr 2020","3458.85","3533.10","3415.80","3521.70"
"21 Apr 2020","3529.10","3529.10","3454.65","3472.65"
"20 Apr 2020","3631.30","3661.50","3578.10","3600.75"
"17 Apr 2020","3601.10","3653.10","3533.60","3593.95"
"16 Apr 2020","3403.15","3513.95","3386.55","3499.50"
"15 Apr 2020","3414.50","3511.00","3382.05","3419.55"
"13 Apr 2020","3435.45","3437.55","3318.75","3371.80"
"09 Apr 2020","3355.05","3427.75","3349.45","3420.95"
"08 Apr 2020","3208.70","3416.40","3178.90","3287.80"
"07 Apr 2020","3144.10","3238.15","3102.55","3232.10"
"03 Apr 2020","3110.20","3113.75","3030.50","3037.00"
"01 Apr 2020","3170.45","3183.05","3067.85","3095.45"
"31 Mar 2020","3182.20","3193.65","3111.15","3180.60"
"30 Mar 2020","3121.55","3160.80","3069.05","3121.50"
